Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
10.621390565,0,0.363918662071228,9.88326454162598,9.88996232512364
10.626395488,0,0.383072257041931,9.93114852905273,9.93853386874651
10.631400334,-0.00957680679857731,0.37349545955658,10.0173397064209,10.024304732368
10.636374719,0.00957680679857731,0.344765037298203,10.0173397064209,10.0232753848235
10.641379642,0,0.430956304073334,10.0556468963623,10.0648774379195
10.646384488,-0.0191536135971546,0.392649084329605,10.0939540863037,10.1016062713187
10.651389411,0.0574608407914639,0.402225881814957,9.94072532653809,9.94902545106314
10.656394334,0.0287304203957319,0.383072257041931,10.0173397064209,10.0247027180365
10.661399181,-0.0383072271943092,0.488417148590088,9.90241813659668,9.91452992867998
10.666373565,0.0287304203957319,0.459686726331711,9.95030212402344,9.96095626347024
10.671378488,0.0574608407914639,0.469263523817062,9.74918937683106,9.76064565017731
10.676383334,0.0383072271943092,0.402225881814957,9.73003578186035,9.73842130018721
10.681388258,0.0670376494526863,0.450109928846359,9.64384460449219,9.65457568980032
10.686393104,0.0861912593245506,0.430956304073334,9.69172859191895,9.70168827414197
10.691398027,0.0766144543886185,0.459686726331711,9.75876617431641,9.76988735380142
10.696372411,0.0383072271943092,0.469263523817062,9.78749656677246,9.79881445599534
10.701377258,0.0383072271943092,0.440533101558685,9.84495735168457,9.85488316083515
10.706382181,0.0478840321302414,0.411802679300308,9.78749656677246,9.79627293269204
10.711387104,0.0383072271943092,0.344765037298203,9.81622695922852,9.82235420302502
10.71639195,0.0670376494526863,0.306457817554474,9.89284133911133,9.89781391021343
10.721396873,0.0478840321302414,0.335188239812851,10.0939540863037,10.0996313364919
10.726371258,0.0670376494526863,0.258573770523071,10.1131076812744,10.1166348858846
10.731376104,0.00957680679857731,0.354341864585876,10.1705684661865,10.1767437227049
10.736432155,-0.0383072271943092,0.344765037298203,10.1609916687012,10.1669111369193
10.741437001,-0.0287304203957319,0.411802679300308,10.0556468963623,10.0641165229769
10.746441924,-0.0574608407914639,0.335188239812851,9.9981861114502,10.0039681338721
10.75144677,-0.00957680679857731,0.402225881814957,9.95030212402344,9.95843309635485
10.756421155,-0.0383072271943092,0.469263523817062,9.94072532653809,9.95186895593568
10.761426078,0,0.517147541046143,9.88326454162598,9.89678531539264
10.766431001,0,0.488417148590088,9.82580375671387,9.83793529031825
10.771435847,0.0861912593245506,0.469263523817062,9.75876617431641,9.77042242858267
