"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.633338460E-1,-1.819593310E-1,-1.532289088E-1,9.931148529E0,9.933997151E0
3.683387690E-1,-1.436520964E-1,-9.576806426E-2,9.911994934E0,9.913498425E0
3.733436150E-1,-1.628057212E-1,-9.576806426E-2,9.998186111E0,9.999970137E0
3.783485380E-1,-1.436520964E-1,-1.628057212E-1,9.950302124E0,9.952670696E0
3.833533840E-1,-1.340752989E-1,-1.149216816E-1,9.959878922E0,9.961444238E0
3.883583070E-1,-1.723825186E-1,-1.053448766E-1,9.959878922E0,9.961927595E0
3.933326920E-1,-1.532289088E-1,-1.819593310E-1,9.864110947E0,9.866978923E0
3.983375380E-1,-1.340752989E-1,-4.788403213E-2,9.825803757E0,9.826835123E0
4.033424610E-1,-7.661445439E-2,-3.830722719E-2,9.873687744E0,9.874059291E0
4.083473080E-1,-1.915361285E-1,-7.661445439E-2,9.864110947E0,9.866267817E0
4.133522310E-1,-1.532289088E-1,-1.244984865E-1,9.844957352E0,9.846936794E0
4.183570770E-1,-1.723825186E-1,-1.244984865E-1,9.950302124E0,9.952573937E0
4.233620000E-1,-1.149216816E-1,-1.532289088E-1,9.902418137E0,9.904270344E0
4.283363080E-1,-1.340752989E-1,-6.703764945E-2,9.902418137E0,9.903552655E0
4.333412310E-1,-1.053448766E-1,-1.149216816E-1,9.998186111E0,9.999401485E0
4.383460770E-1,-9.576806426E-2,-9.576806426E-2,9.883264542E0,9.884192483E0
4.433510000E-1,-1.436520964E-1,-1.149216816E-1,9.921571732E0,9.923277107E0
4.483558460E-1,-1.436520964E-1,-9.576806426E-2,9.892841339E0,9.894347740E0
4.533607690E-1,-9.576806426E-2,-8.619125932E-2,9.816226959E0,9.817072485E0
4.583351540E-1,-1.532289088E-1,-1.053448766E-1,9.864110947E0,9.865863440E0
4.633400000E-1,-6.703764945E-2,-1.053448766E-1,9.892841339E0,9.893629332E0
4.683449230E-1,-1.340752989E-1,-1.149216816E-1,9.854534149E0,9.856116196E0
4.733497690E-1,-1.149216816E-1,-6.703764945E-2,9.883264542E0,9.884160007E0
4.783546920E-1,-1.819593310E-1,-1.915361360E-2,9.950302124E0,9.951984145E0
4.833595380E-1,-1.244984865E-1,-5.746084079E-2,9.969455719E0,9.970398636E0
4.883339230E-1,-1.436520964E-1,-8.619125932E-2,9.873687744E0,9.875108836E0
4.933387690E-1,-1.628057212E-1,-8.619125932E-2,9.911994934E0,9.913706583E0
4.983436920E-1,-1.915361285E-1,-3.830722719E-2,9.902418137E0,9.904344425E0
5.033485390E-1,-1.532289088E-1,-1.436520964E-1,9.873687744E0,9.875921460E0
5.083534620E-1,-1.532289088E-1,-1.340752989E-1,9.911994934E0,9.914085881E0
5.133583080E-1,-1.819593310E-1,-1.053448766E-1,9.921571732E0,9.923799291E0
5.183326920E-1,-1.436520964E-1,-1.149216816E-1,9.864110947E0,9.865826255E0
5.233376160E-1,-1.149216816E-1,-1.053448766E-1,9.854534149E0,9.855767237E0
5.283424620E-1,-1.244984865E-1,-1.340752989E-1,9.844957352E0,9.846657368E0
5.333473850E-1,-1.340752989E-1,-1.244984865E-1,9.921571732E0,9.923258622E0
5.383522310E-1,-9.576806426E-2,-5.746084079E-2,9.921571732E0,9.922200305E0
5.433570770E-1,-1.340752989E-1,-1.053448766E-1,9.816226959E0,9.817707749E0
5.483620000E-1,-1.628057212E-1,-1.244984865E-1,9.911994934E0,9.914113634E0
5.533363850E-1,-1.723825186E-1,-6.703764945E-2,9.940725327E0,9.942445866E0
5.583412310E-1,-1.532289088E-1,-9.576806426E-2,9.892841339E0,9.894491416E0
5.633461540E-1,-1.723825186E-1,-1.053448766E-1,9.950302124E0,9.952352769E0
5.683510000E-1,-1.819593310E-1,-1.819593310E-1,9.816226959E0,9.819599285E0
5.733559230E-1,-1.053448766E-1,-7.661445439E-2,9.892841339E0,9.893698857E0
5.783607690E-1,-6.703764945E-2,-1.244984865E-1,9.873687744E0,9.874700177E0
5.833351540E-1,-1.915361285E-1,-1.053448766E-1,9.911994934E0,9.914405035E0
5.883400000E-1,-1.628057212E-1,-1.340752989E-1,9.940725327E0,9.942962431E0
5.933449230E-1,-1.532289088E-1,-1.628057212E-1,9.835380554E0,9.837921297E0
5.983497700E-1,-1.436520964E-1,-7.661445439E-2,9.873687744E0,9.875029892E0
6.033546930E-1,-1.053448766E-1,-1.723825186E-1,9.797073364E0,9.799156075E0
6.083595390E-1,-8.619125932E-2,-9.576806426E-2,9.902418137E0,9.903256303E0
6.133339230E-1,-1.532289088E-1,-1.149216816E-1,9.911994934E0,9.913845352E0
6.183388470E-1,-1.436520964E-1,-5.746084079E-2,9.969455719E0,9.970656197E0
6.233436930E-1,-1.819593310E-1,-1.149216816E-1,9.873687744E0,9.876032901E0
6.283486160E-1,-1.149216816E-1,-1.436520964E-1,9.883264542E0,9.884976526E0
6.333534620E-1,-1.819593310E-1,-9.576806426E-2,9.892841339E0,9.894978043E0
6.383583850E-1,-1.532289088E-1,-1.244984865E-1,9.854534149E0,9.856511668E0
